;eumohp_dsd3;eumohp_lp3;eumohp_sd3;gwn_recharge;hyraum_gr;swr1000_swr;huek250_kf;huek250_ha;hengl_clay;hengl_sand;clc2018;twi;dwd_epot;dwd_psum;dwd_tmean;dwd_percfrost;dwd_rhmean;buek5000_bt
BB_27381010;9960.0;181.0;180.0;142;1;209.45;3;P;10;75;16;2.785;598.052;616.6020368;9.239559568;0.107609372;78.94342508;7.0
BB_28390113;8962.0;2913.0;2610.0;136;1;194.962;3;P;10;74;15;6.295;596.419;613.8699709;8.999790726;0.109440874;79.16744484;7.0
BB_29519030;4126.0;9927.0;4096.0;29;1;;9;P;13;75;2;4.051;628.01;536.2317192;9.342429529;0.113086599;78.54452098;4.0
BB_30400591;3087.0;801.0;247.0;20;1;98.631;9;P;7;82;18;3.778;616.195;599.5935018;9.261877781;0.109440874;78.65664494;4.0
BB_31400780;353.0;7597.0;268.0;55;1;147.122;9;P;15;72;18;2.897;620.824;580.6329072;9.388911802;0.10762665;78.42876432;4.0
BB_31491979;1654.0;8717.0;1442.0;69;1;-54.903;9;P;22;56;15;5.704;635.624;580.6333187;9.453379963;0.112170848;77.41941695;11.0
BB_32455305;1600.0;9282.0;1485.0;38;1;87.818;9;P;7;85;17;6.764;632.595;603.7179687;9.557485901;0.10577787;77.19849479;4.0
BB_33437070;3754.0;3611.0;1356.0;79;1;149.21;9;P;6;85;15;3.055;639.643;570.5503102;9.771781594;0.096724031;76.84624262;4.0
BB_33437090;4094.0;5130.0;2100.0;54;1;85.728;9;P;7;83;17;5.331;639.524;592.4895384;9.677566787;0.100352478;77.19796549;4.0
BB_33437106;4118.0;4806.0;1979.0;53;1;71.918;9;P;12;77;18;3.394;638.443;592.4895384;9.677566787;0.100352478;77.19796549;4.0
BB_33452451;8881.0;817.0;726.0;99;1;34.037;9;P;13;78;16;3.333;641.824;600.4145548;9.968104213;0.093078305;75.51508899;4.0
