;rr;long_rec;SD_dif;per;sk;jumps;seas_behav;hpd;med01
BB_27381010;0.573;22;0.072;0.694;0.358;5.915;0.006;25.952;0.396
BB_28390113;0.679;15;0.085;0.747;0.269;9.882;0.004;20;0.417
BB_29519030;0.367;28;0.047;0.599;-0.042;10.315;0.084;27.068;0.486
BB_30400591;0.414;35;0.044;0.549;0.442;6.278;0.004;66.526;0.358
BB_31400780;0.553;16;0.07;0.623;0.287;16.089;0.008;23.074;0.392
BB_31491979;0.658;22;0.057;0.707;-0.311;9.864;0.185;26.821;0.577
BB_32455305;0.503;32;0.066;0.702;0.029;8.969;0.008;36.73;0.491
BB_33437070;0.53;30;0.055;0.686;0.228;7.422;0.01;29.797;0.373
BB_33437090;0.514;32;0.066;0.657;0.084;7.673;0.009;35.356;0.406
BB_33437106;0.593;27;0.077;0.681;0.351;8.457;0.01;27.046;0.353
BB_33452451;0.732;18;0.115;0.791;-0.103;7.615;0.009;17.396;0.533
BB_33470960;0.536;32;0.068;0.7;0.181;6.461;0.004;46.348;0.434
BB_34426110;0.422;28;0.049;0.639;0.788;7.112;0.01;47.865;0.358
BB_34522461;0.372;48;0.037;0.394;0.484;12.236;0.022;85.524;0.372
BB_37451908;0.456;28;0.044;0.602;0.3;7.213;0.008;46.433;0.403
BB_39441476;0.452;25;0.059;0.519;0.392;5.596;0.006;34.259;0.375
BB_39496056;0.431;38;0.053;0.506;0.792;8.302;0.006;52.909;0.305
BB_40500136;0.388;30;0.04;0.542;0.333;9.544;0.005;41.692;0.407
BB_42458092;0.441;37;0.052;0.473;0.396;7.371;0.004;50.806;0.353
BW_100-813-7;0.6;30;1.186;0.583;1.156;11.862;0.001;26.843;0.197
BW_103-763-0;0.537;43;0.969;0.546;0.157;11.354;0;57.958;0.464
BW_107-666-2;0.517;44;0.359;0.469;0.313;12.343;0;60.217;0.391
BW_110-619-8;0.463;38;0.106;0.453;0.504;7.558;0;31.857;0.338
BW_112-211-1;0.523;22;0.092;0.529;-0.035;17.292;0.003;23.293;0.503
BW_124-068-9;0.4;23;0.117;0.449;0.767;13.026;0.002;29.397;0.333
BW_131-115-0;0.647;17;0.258;0.597;0.747;9.619;0.002;14.892;0.302
BW_145-772-0;0.444;30;0.218;0.349;0.667;22.38;0;32.475;0.317
BW_15-568-2;0.468;24;0.062;0.49;1.103;5.694;0.001;27.073;0.246
BW_16-706-8;0.628;27;0.194;0.752;0.148;8.754;0.001;41.4;0.388
BW_177-770-1;0.539;24;0.121;0.372;0.898;18.018;0;27.059;0.262
BW_194-069-9;0.382;25;0.057;0.463;0.597;9.807;0.001;33.538;0.316
BY_11119;0.628;25;0.18;0.576;1.1;13.4;0.001;20.856;0.224
BY_13126;0.491;31;0.192;0.314;0.514;13.742;0;35.975;0.356
BY_15120;0.313;43;0.68;0.39;0.572;12.762;0;48.051;0.291
BY_22008;0.654;24;0.248;0.681;1.094;8.76;0.002;25.491;0.216
BY_24153;0.754;18;0.071;0.789;0.438;24.42;0.001;21.75;0.363
BY_25155;0.519;29;0.103;0.312;0.938;14.364;0;34.788;0.248
BY_3108;0.644;27;0.207;0.589;0.562;12.394;0.001;21.708;0.349
BY_5158;0.707;16;0.163;0.7;0.398;9.153;0.001;18.941;0.332
BY_5162;0.561;35;0.065;0.571;0.732;4.486;0.001;46.182;0.278
BY_7126;0.443;33;0.091;0.475;0.501;8.409;0.001;26.407;0.34
BY_8252;0.479;34;0.091;0.294;0.542;16.355;0.001;29.316;0.315
BY_83614;0.681;23;0.546;0.721;0.663;8.646;0.001;22.216;0.258
BY_9275;0.552;18;0.054;0.325;-0.015;10.146;0;20.897;0.474
HE_10319;0.777;23;1.665;0.746;-0.122;4.657;0.001;14.691;0.522
HE_11781;0.657;25;0.093;0.753;-0.107;8.321;0.003;28.644;0.486
HE_12117;0.502;29;0.077;0.572;0.528;28.17;0.002;43.735;0.372
HE_14293;0.657;29;0.198;0.719;0.783;6.988;0.001;31.04;0.288
HE_14297;0.628;25;0.324;0.669;1.682;6.392;0.001;28.96;0.135
HE_6253;0.485;38;0.23;0.53;0.339;17.608;0.001;44.105;0.36
HE_6645;0.501;36;0.152;0.649;0.465;11.969;0.001;34.424;0.268
HE_7824;0.508;36;0.135;0.668;0.001;17.11;0.002;33.051;0.545
MV_16450200;0.546;48;0.072;0.626;0.002;5.62;0.039;53.303;0.497
MV_17390002;0.533;29;0.094;0.623;0.263;7.533;0.149;36.897;0.383
NI_100000728;0.645;27;0.101;0.787;-0.248;5.315;0.004;32.667;0.6
NI_100000842;0.685;31;0.065;0.65;0.046;6.493;0.004;49.5;0.497
NI_100000926;0.621;40;0.14;0.659;0.746;10.367;0.002;31.439;0.26
NI_129300060;0.625;32;0.088;0.794;-0.497;5.486;0.005;33.5;0.602
NI_200000620;0.514;48;0.081;0.641;0.141;12.885;0.008;44.172;0.487
NI_200000788;0.612;35;0.1;0.648;0.189;9.204;0.005;35.892;0.458
NI_200001068;0.635;39;0.089;0.746;0.263;6.786;0.011;24.551;0.395
NI_200001722;0.515;38;0.056;0.638;0.589;9.644;0.025;35.316;0.338
NI_200002153;0.631;37;0.092;0.744;0.091;7.485;0.008;26.235;0.467
NI_40000175;0.59;43;0.1;0.689;0.093;7.027;0.008;31;0.462
NI_40000233;0.45;39;0.059;0.665;0.357;11.058;0.007;39.147;0.343
NI_400080190;0.478;36;0.052;0.601;0.432;12.878;0.078;49.423;0.324
NI_400081660;0.511;35;0.05;0.647;0.493;14.645;0.05;56.542;0.387
NI_40501911;0.45;38;0.057;0.559;0.826;17.93;0.01;55.143;0.317
NI_405160331;0.446;39;0.074;0.609;0.254;15.154;0.008;52.192;0.464
NI_500000592;0.597;43;0.032;0.615;0.224;9.258;0.06;45.636;0.448
NI_600041871;0.571;38;0.064;0.694;0.094;7.052;0.006;32.868;0.478
NI_9700020;0.548;36;0.06;0.676;0.514;10.274;0.017;39;0.349
NI_9700080;0.59;30;0.134;0.717;-0.004;6.913;0.006;28.298;0.458
NI_9700159;0.65;38;0.103;0.743;0.039;8.695;0.01;24.926;0.445
NI_9840391;0.7;18;0.064;0.743;-0.359;11.195;0.208;29.5;0.585
NI_9840901;0.575;16;0.083;0.654;-0.227;8.812;0.22;13.62;0.544
NI_9853172;0.624;21;0.071;0.714;-0.236;8.247;0.064;21.5;0.579
NW_100140142;0.501;26;0.1;0.554;0.228;16.171;0.006;27.488;0.424
NW_100140762;0.606;39;0.078;0.665;0.643;16.23;0.005;48.444;0.315
NW_110040028;0.663;20;0.102;0.719;-0.092;3.565;0.003;14.936;0.456
NW_110040041;0.727;19;0.158;0.733;0.183;3.863;0.004;12.928;0.431
NW_110060143;0.664;18;0.189;0.713;-0.651;4.332;0.005;13.495;0.628
NW_110240017;0.539;30;0.082;0.687;0.408;8.968;0.006;32.967;0.38
NW_129660176;0.729;31;3.353;0.785;0.828;9.08;0.001;29.848;0.21
NW_129660206;0.569;28;0.942;0.71;0.996;11.022;0.001;32.4;0.272
NW_60090169;0.533;37;0.14;0.639;0.26;14.041;0.005;42;0.429
