Date,GWL
13.11.1978 00:00:00,34.72
20.11.1978 00:00:00,34.68
27.11.1978 00:00:00,34.705
04.12.1978 00:00:00,34.73
11.12.1978 00:00:00,34.7
18.12.1978 00:00:00,34.76
25.12.1978 00:00:00,34.73
01.01.1979 00:00:00,34.77
08.01.1979 00:00:00,34.8
15.01.1979 00:00:00,34.82
22.01.1979 00:00:00,34.8
29.01.1979 00:00:00,34.76
05.02.1979 00:00:00,34.75
12.02.1979 00:00:00,34.75
19.02.1979 00:00:00,34.77
26.02.1979 00:00:00,34.75
05.03.1979 00:00:00,34.95
12.03.1979 00:00:00,35.07
19.03.1979 00:00:00,35.07
26.03.1979 00:00:00,35.1
02.04.1979 00:00:00,35.13
09.04.1979 00:00:00,35.12
16.04.1979 00:00:00,35.07
23.04.1979 00:00:00,35.04
30.04.1979 00:00:00,35
07.05.1979 00:00:00,35
14.05.1979 00:00:00,34.93
21.05.1979 00:00:00,34.91
28.05.1979 00:00:00,34.87
04.06.1979 00:00:00,34.83
11.06.1979 00:00:00,34.78
18.06.1979 00:00:00,34.75
25.06.1979 00:00:00,34.8
02.07.1979 00:00:00,34.7
09.07.1979 00:00:00,34.67
16.07.1979 00:00:00,34.63
23.07.1979 00:00:00,34.59
30.07.1979 00:00:00,34.57
06.08.1979 00:00:00,34.55
13.08.1979 00:00:00,34.53
20.08.1979 00:00:00,34.46
27.08.1979 00:00:00,34.505
03.09.1979 00:00:00,34.55
10.09.1979 00:00:00,34.44
17.09.1979 00:00:00,34.43
24.09.1979 00:00:00,34.42
01.10.1979 00:00:00,34.35
08.10.1979 00:00:00,34.32
15.10.1979 00:00:00,34.37
22.10.1979 00:00:00,34.37
29.10.1979 00:00:00,34.35
05.11.1979 00:00:00,34.35
12.11.1979 00:00:00,34.42
19.11.1979 00:00:00,34.5
26.11.1979 00:00:00,34.505
03.12.1979 00:00:00,34.51
10.12.1979 00:00:00,34.54
17.12.1979 00:00:00,34.65
24.12.1979 00:00:00,34.74
31.12.1979 00:00:00,34.73
07.01.1980 00:00:00,34.73
14.01.1980 00:00:00,34.72
21.01.1980 00:00:00,34.69
28.01.1980 00:00:00,34.675
04.02.1980 00:00:00,34.66
11.02.1980 00:00:00,34.73
18.02.1980 00:00:00,34.85
25.02.1980 00:00:00,34.84
03.03.1980 00:00:00,34.82
10.03.1980 00:00:00,34.82
17.03.1980 00:00:00,34.76
24.03.1980 00:00:00,34.8
31.03.1980 00:00:00,34.75
07.04.1980 00:00:00,34.85
14.04.1980 00:00:00,34.8
21.04.1980 00:00:00,34.74
28.04.1980 00:00:00,34.88
05.05.1980 00:00:00,34.94
12.05.1980 00:00:00,34.87
19.05.1980 00:00:00,34.83
26.05.1980 00:00:00,34.765
02.06.1980 00:00:00,34.7
09.06.1980 00:00:00,34.84
16.06.1980 00:00:00,34.85
23.06.1980 00:00:00,34.85
30.06.1980 00:00:00,34.79
07.07.1980 00:00:00,34.79
14.07.1980 00:00:00,34.83
21.07.1980 00:00:00,34.84
28.07.1980 00:00:00,34.815
04.08.1980 00:00:00,34.79
11.08.1980 00:00:00,34.75
18.08.1980 00:00:00,34.74
25.08.1980 00:00:00,34.74
01.09.1980 00:00:00,34.68
08.09.1980 00:00:00,34.65
15.09.1980 00:00:00,34.65
22.09.1980 00:00:00,34.6
29.09.1980 00:00:00,34.55
06.10.1980 00:00:00,34.45
13.10.1980 00:00:00,34.55
20.10.1980 00:00:00,34.55
27.10.1980 00:00:00,34.55
03.11.1980 00:00:00,34.55
10.11.1980 00:00:00,34.55
17.11.1980 00:00:00,34.55
24.11.1980 00:00:00,34.65
01.12.1980 00:00:00,34.5050451018072
08.12.1980 00:00:00,34.5436765712304
15.12.1980 00:00:00,34.560232915269
22.12.1980 00:00:00,34.5767892593075
29.12.1980 00:00:00,34.5878268219999
05.01.1981 00:00:00,34.6154207287307
12.01.1981 00:00:00,34.5657516966151
19.01.1981 00:00:00,34.5326390085381
26.01.1981 00:00:00,34.5547141339228
02.02.1981 00:00:00,34.5767892593075
09.02.1981 00:00:00,34.6043831660384
16.02.1981 00:00:00,34.6430146354616
23.02.1981 00:00:00,34.6374958541155
02.03.1981 00:00:00,34.6319770727693
09.03.1981 00:00:00,34.6430146354616
16.03.1981 00:00:00,34.7533902623852
23.03.1981 00:00:00,34.7533902623852
30.03.1981 00:00:00,34.7644278250776
06.04.1981 00:00:00,34.95
13.04.1981 00:00:00,34.9
20.04.1981 00:00:00,34.87
27.04.1981 00:00:00,34.875
04.05.1981 00:00:00,34.88
11.05.1981 00:00:00,34.89
18.05.1981 00:00:00,34.91
25.05.1981 00:00:00,34.91
01.06.1981 00:00:00,34.89
08.06.1981 00:00:00,34.88
15.06.1981 00:00:00,34.85
22.06.1981 00:00:00,34.83
29.06.1981 00:00:00,34.81
06.07.1981 00:00:00,34.75
13.07.1981 00:00:00,34.69
20.07.1981 00:00:00,34.63
27.07.1981 00:00:00,34.64
03.08.1981 00:00:00,34.65
10.08.1981 00:00:00,34.67
17.08.1981 00:00:00,34.7
24.08.1981 00:00:00,34.71
31.08.1981 00:00:00,34.69
07.09.1981 00:00:00,34.65
14.09.1981 00:00:00,34.62
21.09.1981 00:00:00,34.57
28.09.1981 00:00:00,34.59
05.10.1981 00:00:00,34.62
12.10.1981 00:00:00,34.65
19.10.1981 00:00:00,34.67
26.10.1981 00:00:00,34.66
02.11.1981 00:00:00,34.65
09.11.1981 00:00:00,34.69
16.11.1981 00:00:00,34.75
23.11.1981 00:00:00,34.77
30.11.1981 00:00:00,34.75
07.12.1981 00:00:00,34.78
14.12.1981 00:00:00,34.89
21.12.1981 00:00:00,34.8
28.12.1981 00:00:00,34.795
04.01.1982 00:00:00,34.79
11.01.1982 00:00:00,34.82
18.01.1982 00:00:00,34.81
25.01.1982 00:00:00,34.87
01.02.1982 00:00:00,34.89
08.02.1982 00:00:00,34.93
15.02.1982 00:00:00,34.94
22.02.1982 00:00:00,34.97
01.03.1982 00:00:00,34.97
08.03.1982 00:00:00,34.98
15.03.1982 00:00:00,35.03
22.03.1982 00:00:00,35.05
29.03.1982 00:00:00,35.01
05.04.1982 00:00:00,34.99
12.04.1982 00:00:00,34.95
19.04.1982 00:00:00,34.89
26.04.1982 00:00:00,34.885
03.05.1982 00:00:00,34.88
10.05.1982 00:00:00,34.85
17.05.1982 00:00:00,34.81
24.05.1982 00:00:00,34.76
31.05.1982 00:00:00,34.74
07.06.1982 00:00:00,34.67
14.06.1982 00:00:00,34.64
21.06.1982 00:00:00,34.58
28.06.1982 00:00:00,34.55
05.07.1982 00:00:00,34.47
12.07.1982 00:00:00,34.41
19.07.1982 00:00:00,34.29
26.07.1982 00:00:00,34.28
02.08.1982 00:00:00,34.27
09.08.1982 00:00:00,34.24
16.08.1982 00:00:00,34.2
23.08.1982 00:00:00,34.16
30.08.1982 00:00:00,34.15
06.09.1982 00:00:00,34.13
13.09.1982 00:00:00,34.08
20.09.1982 00:00:00,34.07
27.09.1982 00:00:00,34.06
04.10.1982 00:00:00,34.05
11.10.1982 00:00:00,34.08
18.10.1982 00:00:00,34.09
25.10.1982 00:00:00,34.11
01.11.1982 00:00:00,34.1
08.11.1982 00:00:00,34.12
15.11.1982 00:00:00,34.14
22.11.1982 00:00:00,34.15
29.11.1982 00:00:00,34.14
06.12.1982 00:00:00,34.17
13.12.1982 00:00:00,34.19
20.12.1982 00:00:00,34.21
27.12.1982 00:00:00,34.2
03.01.1983 00:00:00,34.19
10.01.1983 00:00:00,34.25
17.01.1983 00:00:00,34.28
24.01.1983 00:00:00,34.37
31.01.1983 00:00:00,34.41
07.02.1983 00:00:00,34.45
14.02.1983 00:00:00,34.48
21.02.1983 00:00:00,34.53
28.02.1983 00:00:00,34.54
07.03.1983 00:00:00,34.52
14.03.1983 00:00:00,34.5
21.03.1983 00:00:00,34.49
28.03.1983 00:00:00,34.495
04.04.1983 00:00:00,34.5
11.04.1983 00:00:00,34.51
18.04.1983 00:00:00,34.53
25.04.1983 00:00:00,34.68
02.05.1983 00:00:00,34.65
09.05.1983 00:00:00,34.63
16.05.1983 00:00:00,34.59
23.05.1983 00:00:00,34.56
30.05.1983 00:00:00,34.55
06.06.1983 00:00:00,34.51
13.06.1983 00:00:00,34.48
20.06.1983 00:00:00,34.45
27.06.1983 00:00:00,34.445
04.07.1983 00:00:00,34.44
11.07.1983 00:00:00,34.42
18.07.1983 00:00:00,34.37
25.07.1983 00:00:00,34.27
01.08.1983 00:00:00,34.25
08.08.1983 00:00:00,34.23
15.08.1983 00:00:00,34.25
22.08.1983 00:00:00,34.26
29.08.1983 00:00:00,34.25
05.09.1983 00:00:00,34.22
12.09.1983 00:00:00,34.18
19.09.1983 00:00:00,34.16
26.09.1983 00:00:00,34.155
03.10.1983 00:00:00,34.15
10.10.1983 00:00:00,34.14
17.10.1983 00:00:00,34.11
24.10.1983 00:00:00,34.08
31.10.1983 00:00:00,34.05
07.11.1983 00:00:00,34.07
14.11.1983 00:00:00,34.09
21.11.1983 00:00:00,34.11
28.11.1983 00:00:00,34.13
05.12.1983 00:00:00,34.16
12.12.1983 00:00:00,34.23
19.12.1983 00:00:00,34.29
26.12.1983 00:00:00,34.32
02.01.1984 00:00:00,34.35
09.01.1984 00:00:00,34.39
16.01.1984 00:00:00,34.45
23.01.1984 00:00:00,34.57
30.01.1984 00:00:00,34.53
06.02.1984 00:00:00,34.56
13.02.1984 00:00:00,34.56
20.02.1984 00:00:00,34.58
27.02.1984 00:00:00,34.56
05.03.1984 00:00:00,34.53
12.03.1984 00:00:00,34.48
19.03.1984 00:00:00,34.45
26.03.1984 00:00:00,34.46
02.04.1984 00:00:00,34.47
09.04.1984 00:00:00,34.5
16.04.1984 00:00:00,34.55
23.04.1984 00:00:00,34.56
30.04.1984 00:00:00,34.52
07.05.1984 00:00:00,34.55
14.05.1984 00:00:00,34.56
21.05.1984 00:00:00,34.57
28.05.1984 00:00:00,34.55
04.06.1984 00:00:00,34.53
11.06.1984 00:00:00,34.5
18.06.1984 00:00:00,34.45
25.06.1984 00:00:00,34.37
02.07.1984 00:00:00,34.39
09.07.1984 00:00:00,34.36
16.07.1984 00:00:00,34.35
23.07.1984 00:00:00,34.34
30.07.1984 00:00:00,34.39
06.08.1984 00:00:00,34.35
13.08.1984 00:00:00,34.33
20.08.1984 00:00:00,34.27
27.08.1984 00:00:00,34.27
03.09.1984 00:00:00,34.27
10.09.1984 00:00:00,34.25
17.09.1984 00:00:00,34.22
24.09.1984 00:00:00,34.2
01.10.1984 00:00:00,34.23
08.10.1984 00:00:00,34.27
15.10.1984 00:00:00,34.32
22.10.1984 00:00:00,34.35
29.10.1984 00:00:00,34.24
05.11.1984 00:00:00,34.21
12.11.1984 00:00:00,34.19
19.11.1984 00:00:00,34.15
26.11.1984 00:00:00,34.165
03.12.1984 00:00:00,34.18
10.12.1984 00:00:00,34.2
17.12.1984 00:00:00,34.16
24.12.1984 00:00:00,34.27
31.12.1984 00:00:00,34.28
07.01.1985 00:00:00,34.31
14.01.1985 00:00:00,34.35
21.01.1985 00:00:00,34.36
28.01.1985 00:00:00,34.355
04.02.1985 00:00:00,34.35
11.02.1985 00:00:00,34.35
18.02.1985 00:00:00,34.35
25.02.1985 00:00:00,34.35
04.03.1985 00:00:00,34.35
11.03.1985 00:00:00,34.37
18.03.1985 00:00:00,34.45
25.03.1985 00:00:00,34.48
01.04.1985 00:00:00,34.51
08.04.1985 00:00:00,34.52
15.04.1985 00:00:00,34.5
22.04.1985 00:00:00,34.48
29.04.1985 00:00:00,34.47
06.05.1985 00:00:00,34.46
13.05.1985 00:00:00,34.49
20.05.1985 00:00:00,34.52
27.05.1985 00:00:00,34.525
03.06.1985 00:00:00,34.53
10.06.1985 00:00:00,34.55
17.06.1985 00:00:00,34.57
24.06.1985 00:00:00,34.59
01.07.1985 00:00:00,34.61
08.07.1985 00:00:00,34.34
15.07.1985 00:00:00,34.28
22.07.1985 00:00:00,34.24
29.07.1985 00:00:00,34.26
05.08.1985 00:00:00,34.23
12.08.1985 00:00:00,34.18
19.08.1985 00:00:00,34.19
26.08.1985 00:00:00,34.18
02.09.1985 00:00:00,34.17
09.09.1985 00:00:00,34.19
16.09.1985 00:00:00,34.2
23.09.1985 00:00:00,34.18
30.09.1985 00:00:00,34.17
07.10.1985 00:00:00,34.13
14.10.1985 00:00:00,34.14
21.10.1985 00:00:00,34.13
28.10.1985 00:00:00,34.12
04.11.1985 00:00:00,34.11
11.11.1985 00:00:00,34.1
18.11.1985 00:00:00,34.11
25.11.1985 00:00:00,34.11
02.12.1985 00:00:00,34.09
09.12.1985 00:00:00,34.11
16.12.1985 00:00:00,34.14
23.12.1985 00:00:00,34.12
30.12.1985 00:00:00,34.29
06.01.1986 00:00:00,34.3
13.01.1986 00:00:00,34.29
20.01.1986 00:00:00,34.3
27.01.1986 00:00:00,34.385
03.02.1986 00:00:00,34.47
10.02.1986 00:00:00,34.47
17.02.1986 00:00:00,34.42
24.02.1986 00:00:00,34.43
03.03.1986 00:00:00,34.38
10.03.1986 00:00:00,34.42
17.03.1986 00:00:00,34.47
24.03.1986 00:00:00,34.52
31.03.1986 00:00:00,34.55
07.04.1986 00:00:00,34.51
14.04.1986 00:00:00,34.64
21.04.1986 00:00:00,34.61
28.04.1986 00:00:00,34.58
05.05.1986 00:00:00,34.6
12.05.1986 00:00:00,34.63
19.05.1986 00:00:00,34.55
26.05.1986 00:00:00,34.555
02.06.1986 00:00:00,34.56
09.06.1986 00:00:00,34.75
16.06.1986 00:00:00,34.71
23.06.1986 00:00:00,34.72
30.06.1986 00:00:00,34.52
07.07.1986 00:00:00,34.48
14.07.1986 00:00:00,34.42
21.07.1986 00:00:00,34.4
28.07.1986 00:00:00,34.395
04.08.1986 00:00:00,34.39
11.08.1986 00:00:00,34.34
18.08.1986 00:00:00,34.33
25.08.1986 00:00:00,34.33
01.09.1986 00:00:00,34.31
08.09.1986 00:00:00,34.29
15.09.1986 00:00:00,34.26
22.09.1986 00:00:00,34.33
29.09.1986 00:00:00,34.32
06.10.1986 00:00:00,34.3
13.10.1986 00:00:00,34.29
20.10.1986 00:00:00,34.29
27.10.1986 00:00:00,34.295
03.11.1986 00:00:00,34.3
10.11.1986 00:00:00,34.32
17.11.1986 00:00:00,34.32
24.11.1986 00:00:00,34.32
01.12.1986 00:00:00,34.3
08.12.1986 00:00:00,34.29
15.12.1986 00:00:00,34.28
22.12.1986 00:00:00,34.28
29.12.1986 00:00:00,34.67
05.01.1987 00:00:00,34.66
12.01.1987 00:00:00,34.64
19.01.1987 00:00:00,34.63
26.01.1987 00:00:00,34.66
02.02.1987 00:00:00,34.69
09.02.1987 00:00:00,34.73
16.02.1987 00:00:00,34.82
23.02.1987 00:00:00,34.86
02.03.1987 00:00:00,34.81
09.03.1987 00:00:00,34.81
16.03.1987 00:00:00,34.81
23.03.1987 00:00:00,34.8
30.03.1987 00:00:00,34.88
06.04.1987 00:00:00,34.88
13.04.1987 00:00:00,34.86
20.04.1987 00:00:00,34.82
27.04.1987 00:00:00,34.795
04.05.1987 00:00:00,34.77
11.05.1987 00:00:00,34.78
18.05.1987 00:00:00,34.79
25.05.1987 00:00:00,34.79
01.06.1987 00:00:00,34.74
08.06.1987 00:00:00,34.79
15.06.1987 00:00:00,34.79
22.06.1987 00:00:00,34.78
29.06.1987 00:00:00,34.7
06.07.1987 00:00:00,34.64
13.07.1987 00:00:00,34.63
20.07.1987 00:00:00,34.63
27.07.1987 00:00:00,34.635
03.08.1987 00:00:00,34.64
10.08.1987 00:00:00,34.64
17.08.1987 00:00:00,34.65
24.08.1987 00:00:00,34.64
31.08.1987 00:00:00,34.49
07.09.1987 00:00:00,34.45
14.09.1987 00:00:00,34.42
21.09.1987 00:00:00,34.42
28.09.1987 00:00:00,34.42
05.10.1987 00:00:00,34.41
12.10.1987 00:00:00,34.41
19.10.1987 00:00:00,34.4
26.10.1987 00:00:00,34.385
02.11.1987 00:00:00,34.37
09.11.1987 00:00:00,34.35
16.11.1987 00:00:00,34.34
23.11.1987 00:00:00,34.33
30.11.1987 00:00:00,34.33
07.12.1987 00:00:00,34.46
14.12.1987 00:00:00,34.47
21.12.1987 00:00:00,34.47
28.12.1987 00:00:00,34.55
04.01.1988 00:00:00,34.63
11.01.1988 00:00:00,34.62
18.01.1988 00:00:00,34.61
25.01.1988 00:00:00,34.6
01.02.1988 00:00:00,34.64
08.02.1988 00:00:00,34.67
15.02.1988 00:00:00,34.69
22.02.1988 00:00:00,34.72
29.02.1988 00:00:00,34.8
07.03.1988 00:00:00,34.86
14.03.1988 00:00:00,34.89
21.03.1988 00:00:00,34.92
28.03.1988 00:00:00,34.915
04.04.1988 00:00:00,34.91
11.04.1988 00:00:00,34.86
18.04.1988 00:00:00,34.8
25.04.1988 00:00:00,34.76
02.05.1988 00:00:00,34.7
09.05.1988 00:00:00,34.66
16.05.1988 00:00:00,34.61
23.05.1988 00:00:00,34.57
30.05.1988 00:00:00,34.53
06.06.1988 00:00:00,34.48
13.06.1988 00:00:00,34.46
20.06.1988 00:00:00,34.44
27.06.1988 00:00:00,34.44
04.07.1988 00:00:00,34.44
11.07.1988 00:00:00,34.45
18.07.1988 00:00:00,34.44
25.07.1988 00:00:00,34.43
01.08.1988 00:00:00,34.42
08.08.1988 00:00:00,34.35
15.08.1988 00:00:00,34.34
22.08.1988 00:00:00,34.31
29.08.1988 00:00:00,34.25
05.09.1988 00:00:00,34.21
12.09.1988 00:00:00,34.21
19.09.1988 00:00:00,34.21
26.09.1988 00:00:00,34.2
03.10.1988 00:00:00,34.19
10.10.1988 00:00:00,34.18
17.10.1988 00:00:00,34.19
24.10.1988 00:00:00,34.17
31.10.1988 00:00:00,34.16
07.11.1988 00:00:00,34.15
14.11.1988 00:00:00,34.15
21.11.1988 00:00:00,34.15
28.11.1988 00:00:00,34.16
05.12.1988 00:00:00,34.16
12.12.1988 00:00:00,34.17
19.12.1988 00:00:00,34.18
26.12.1988 00:00:00,34.29
02.01.1989 00:00:00,34.4
09.01.1989 00:00:00,34.4
16.01.1989 00:00:00,34.42
23.01.1989 00:00:00,34.41
30.01.1989 00:00:00,34.37
06.02.1989 00:00:00,34.36
13.02.1989 00:00:00,34.35
20.02.1989 00:00:00,34.35
27.02.1989 00:00:00,34.36
06.03.1989 00:00:00,34.38
13.03.1989 00:00:00,34.39
20.03.1989 00:00:00,34.35
27.03.1989 00:00:00,34.35
03.04.1989 00:00:00,34.35
10.04.1989 00:00:00,34.35
17.04.1989 00:00:00,34.34
24.04.1989 00:00:00,34.34
01.05.1989 00:00:00,34.36
08.05.1989 00:00:00,34.35
15.05.1989 00:00:00,34.33
22.05.1989 00:00:00,34.29
29.05.1989 00:00:00,34.23
05.06.1989 00:00:00,34.21
12.06.1989 00:00:00,34.19
19.06.1989 00:00:00,34.16
26.06.1989 00:00:00,34.125
03.07.1989 00:00:00,34.09
10.07.1989 00:00:00,34.09
17.07.1989 00:00:00,34.07
24.07.1989 00:00:00,34.06
31.07.1989 00:00:00,34.13
07.08.1989 00:00:00,34.15
14.08.1989 00:00:00,34.15
21.08.1989 00:00:00,34.12
28.08.1989 00:00:00,34.105
04.09.1989 00:00:00,34.09
11.09.1989 00:00:00,34.1
18.09.1989 00:00:00,33.91
25.09.1989 00:00:00,33.94
02.10.1989 00:00:00,33.96
09.10.1989 00:00:00,33.99
16.10.1989 00:00:00,33.96
23.10.1989 00:00:00,34.01
30.10.1989 00:00:00,34.06
06.11.1989 00:00:00,34.05
13.11.1989 00:00:00,34.14
20.11.1989 00:00:00,34.11
27.11.1989 00:00:00,34.105
04.12.1989 00:00:00,34.1
11.12.1989 00:00:00,34.25
18.12.1989 00:00:00,34.25
25.12.1989 00:00:00,34.01
01.01.1990 00:00:00,34.31
08.01.1990 00:00:00,34.34
15.01.1990 00:00:00,34.36
22.01.1990 00:00:00,34.35
29.01.1990 00:00:00,34.3
05.02.1990 00:00:00,34.41
12.02.1990 00:00:00,34.4
19.02.1990 00:00:00,34.4
26.02.1990 00:00:00,34.52
05.03.1990 00:00:00,34.51
12.03.1990 00:00:00,34.52
19.03.1990 00:00:00,34.52
26.03.1990 00:00:00,34.515
02.04.1990 00:00:00,34.51
09.04.1990 00:00:00,34.5
16.04.1990 00:00:00,34.44
23.04.1990 00:00:00,34.32
30.04.1990 00:00:00,34.35
07.05.1990 00:00:00,34.36
14.05.1990 00:00:00,34.28
21.05.1990 00:00:00,34.28
28.05.1990 00:00:00,34.275
04.06.1990 00:00:00,34.27
11.06.1990 00:00:00,34.36
