Date,GWL
05.01.1981 00:00:00,88.17
12.01.1981 00:00:00,88.17
19.01.1981 00:00:00,88.23
26.01.1981 00:00:00,88.28
02.02.1981 00:00:00,88.3
09.02.1981 00:00:00,88.33
16.02.1981 00:00:00,88.29
23.02.1981 00:00:00,88.22
02.03.1981 00:00:00,88.34
09.03.1981 00:00:00,88.4
16.03.1981 00:00:00,88.44
23.03.1981 00:00:00,88.38
30.03.1981 00:00:00,88.44
06.04.1981 00:00:00,88.39
13.04.1981 00:00:00,88.28
20.04.1981 00:00:00,88.16
27.04.1981 00:00:00,88.16
04.05.1981 00:00:00,88.36
11.05.1981 00:00:00,88.23
18.05.1981 00:00:00,88.1
25.05.1981 00:00:00,88.05
01.06.1981 00:00:00,88.04
08.06.1981 00:00:00,88.06
15.06.1981 00:00:00,88.05
22.06.1981 00:00:00,88.03
29.06.1981 00:00:00,88.15
06.07.1981 00:00:00,88.06
13.07.1981 00:00:00,87.99
20.07.1981 00:00:00,87.91
27.07.1981 00:00:00,88.04
03.08.1981 00:00:00,87.9
10.08.1981 00:00:00,87.96
17.08.1981 00:00:00,88.48
24.08.1981 00:00:00,88.41
31.08.1981 00:00:00,88.23
07.09.1981 00:00:00,88.07
14.09.1981 00:00:00,87.97
21.09.1981 00:00:00,87.93
28.09.1981 00:00:00,88.07
05.10.1981 00:00:00,88.18
12.10.1981 00:00:00,88.29
19.10.1981 00:00:00,88.43
26.10.1981 00:00:00,88.35
02.11.1981 00:00:00,88.39
09.11.1981 00:00:00,88.3
16.11.1981 00:00:00,88.23
23.11.1981 00:00:00,88.36
30.11.1981 00:00:00,88.5
07.12.1981 00:00:00,88.59
14.12.1981 00:00:00,88.64
21.12.1981 00:00:00,88.66
28.12.1981 00:00:00,88.68
04.01.1982 00:00:00,88.73
11.01.1982 00:00:00,88.6
18.01.1982 00:00:00,88.54
25.01.1982 00:00:00,88.48
01.02.1982 00:00:00,88.64
08.02.1982 00:00:00,88.66
15.02.1982 00:00:00,88.54
22.02.1982 00:00:00,88.48
01.03.1982 00:00:00,88.43
08.03.1982 00:00:00,88.42
15.03.1982 00:00:00,88.41
22.03.1982 00:00:00,88.39
29.03.1982 00:00:00,88.36
05.04.1982 00:00:00,88.28
12.04.1982 00:00:00,88.23
19.04.1982 00:00:00,88.23
26.04.1982 00:00:00,88.2
03.05.1982 00:00:00,88.14
10.05.1982 00:00:00,88.08
17.05.1982 00:00:00,88.01
24.05.1982 00:00:00,87.98
31.05.1982 00:00:00,87.9
07.06.1982 00:00:00,87.84
14.06.1982 00:00:00,87.8
21.06.1982 00:00:00,87.73
28.06.1982 00:00:00,87.7
05.07.1982 00:00:00,87.66
12.07.1982 00:00:00,87.6
19.07.1982 00:00:00,87.56
26.07.1982 00:00:00,87.53
02.08.1982 00:00:00,87.55
09.08.1982 00:00:00,87.51
16.08.1982 00:00:00,87.48
23.08.1982 00:00:00,87.46
30.08.1982 00:00:00,87.46
06.09.1982 00:00:00,87.43
13.09.1982 00:00:00,87.38
20.09.1982 00:00:00,87.36
27.09.1982 00:00:00,87.37
04.10.1982 00:00:00,87.43
11.10.1982 00:00:00,87.56
18.10.1982 00:00:00,87.77
25.10.1982 00:00:00,87.87
01.11.1982 00:00:00,87.87
08.11.1982 00:00:00,87.9
15.11.1982 00:00:00,87.91
22.11.1982 00:00:00,87.96
29.11.1982 00:00:00,87.96
06.12.1982 00:00:00,87.97
13.12.1982 00:00:00,87.99
20.12.1982 00:00:00,88.01
27.12.1982 00:00:00,88.07
03.01.1983 00:00:00,88.08
10.01.1983 00:00:00,88.1
17.01.1983 00:00:00,88.1
24.01.1983 00:00:00,88.12
31.01.1983 00:00:00,88.16
07.02.1983 00:00:00,88.2
14.02.1983 00:00:00,88.23
21.02.1983 00:00:00,88.27
28.02.1983 00:00:00,88.3
07.03.1983 00:00:00,88.36
14.03.1983 00:00:00,88.38
21.03.1983 00:00:00,88.41
28.03.1983 00:00:00,88.4
04.04.1983 00:00:00,88.42
11.04.1983 00:00:00,88.42
18.04.1983 00:00:00,88.44
25.04.1983 00:00:00,88.45
02.05.1983 00:00:00,88.36
09.05.1983 00:00:00,88.46
16.05.1983 00:00:00,88.51
23.05.1983 00:00:00,88.69
30.05.1983 00:00:00,88.58
06.06.1983 00:00:00,88.41
13.06.1983 00:00:00,88.3
20.06.1983 00:00:00,88.06
27.06.1983 00:00:00,88.19
04.07.1983 00:00:00,88.03
11.07.1983 00:00:00,87.98
18.07.1983 00:00:00,87.79
25.07.1983 00:00:00,87.71
01.08.1983 00:00:00,87.64
08.08.1983 00:00:00,87.61
15.08.1983 00:00:00,87.52
22.08.1983 00:00:00,87.48
29.08.1983 00:00:00,87.41
05.09.1983 00:00:00,87.37
12.09.1983 00:00:00,87.44
19.09.1983 00:00:00,87.5
26.09.1983 00:00:00,87.55
03.10.1983 00:00:00,87.57
10.10.1983 00:00:00,87.53
17.10.1983 00:00:00,87.56
24.10.1983 00:00:00,87.54
31.10.1983 00:00:00,87.57
07.11.1983 00:00:00,87.6
14.11.1983 00:00:00,87.6
21.11.1983 00:00:00,87.62
28.11.1983 00:00:00,87.7
05.12.1983 00:00:00,87.73
12.12.1983 00:00:00,87.79
19.12.1983 00:00:00,87.86
26.12.1983 00:00:00,87.87
02.01.1984 00:00:00,87.96
09.01.1984 00:00:00,88.01
16.01.1984 00:00:00,88.04
23.01.1984 00:00:00,88.1
30.01.1984 00:00:00,88.29
06.02.1984 00:00:00,88.33
13.02.1984 00:00:00,88.37
20.02.1984 00:00:00,88.39
27.02.1984 00:00:00,88.41
05.03.1984 00:00:00,88.33
12.03.1984 00:00:00,88.27
19.03.1984 00:00:00,88.2
26.03.1984 00:00:00,88.16
02.04.1984 00:00:00,88.4
09.04.1984 00:00:00,88.36
16.04.1984 00:00:00,88.34
23.04.1984 00:00:00,88.33
30.04.1984 00:00:00,88.28
07.05.1984 00:00:00,88.28
14.05.1984 00:00:00,88.26
21.05.1984 00:00:00,88.34
28.05.1984 00:00:00,88.46
04.06.1984 00:00:00,88.57
11.06.1984 00:00:00,88.38
18.06.1984 00:00:00,88.14
25.06.1984 00:00:00,88.01
02.07.1984 00:00:00,87.93
09.07.1984 00:00:00,87.85
16.07.1984 00:00:00,87.77
23.07.1984 00:00:00,87.72
30.07.1984 00:00:00,87.72
06.08.1984 00:00:00,87.64
13.08.1984 00:00:00,87.62
20.08.1984 00:00:00,87.57
27.08.1984 00:00:00,87.54
03.09.1984 00:00:00,87.48
10.09.1984 00:00:00,87.61
17.09.1984 00:00:00,87.65
24.09.1984 00:00:00,87.71
01.10.1984 00:00:00,87.73
08.10.1984 00:00:00,87.76
15.10.1984 00:00:00,87.77
22.10.1984 00:00:00,87.8
29.10.1984 00:00:00,87.83
05.11.1984 00:00:00,87.84
12.11.1984 00:00:00,87.85
19.11.1984 00:00:00,87.86
26.11.1984 00:00:00,87.87
03.12.1984 00:00:00,87.85
10.12.1984 00:00:00,87.84
17.12.1984 00:00:00,87.86
24.12.1984 00:00:00,87.89
31.12.1984 00:00:00,87.9
07.01.1985 00:00:00,87.89
14.01.1985 00:00:00,87.92
21.01.1985 00:00:00,87.95
28.01.1985 00:00:00,88
04.02.1985 00:00:00,88.03
11.02.1985 00:00:00,88.09
18.02.1985 00:00:00,88.15
25.02.1985 00:00:00,88.19
04.03.1985 00:00:00,88.23
11.03.1985 00:00:00,88.28
18.03.1985 00:00:00,88.36
25.03.1985 00:00:00,88.37
01.04.1985 00:00:00,88.34
08.04.1985 00:00:00,88.3
15.04.1985 00:00:00,88.28
22.04.1985 00:00:00,88.22
29.04.1985 00:00:00,88.19
06.05.1985 00:00:00,88.19
13.05.1985 00:00:00,88.06
20.05.1985 00:00:00,88.04
27.05.1985 00:00:00,88.04
03.06.1985 00:00:00,88.08
10.06.1985 00:00:00,88.01
17.06.1985 00:00:00,87.96
24.06.1985 00:00:00,88
01.07.1985 00:00:00,87.97
08.07.1985 00:00:00,87.87
15.07.1985 00:00:00,87.87
22.07.1985 00:00:00,87.78
29.07.1985 00:00:00,87.67
05.08.1985 00:00:00,87.64
12.08.1985 00:00:00,87.59
19.08.1985 00:00:00,87.59
26.08.1985 00:00:00,87.55
02.09.1985 00:00:00,87.53
09.09.1985 00:00:00,87.53
16.09.1985 00:00:00,87.51
23.09.1985 00:00:00,87.53
30.09.1985 00:00:00,87.52
07.10.1985 00:00:00,87.51
14.10.1985 00:00:00,87.49
21.10.1985 00:00:00,87.47
28.10.1985 00:00:00,87.46
04.11.1985 00:00:00,87.49
11.11.1985 00:00:00,87.53
18.11.1985 00:00:00,87.53
25.11.1985 00:00:00,87.57
02.12.1985 00:00:00,87.62
09.12.1985 00:00:00,87.66
16.12.1985 00:00:00,87.78
23.12.1985 00:00:00,87.79
30.12.1985 00:00:00,87.87
06.01.1986 00:00:00,87.92
13.01.1986 00:00:00,87.95
20.01.1986 00:00:00,88
27.01.1986 00:00:00,88.07
03.02.1986 00:00:00,88.12
10.02.1986 00:00:00,88.13
17.02.1986 00:00:00,88.1
24.02.1986 00:00:00,88.12
03.03.1986 00:00:00,88.1
10.03.1986 00:00:00,88.15
17.03.1986 00:00:00,88.15
24.03.1986 00:00:00,88.18
31.03.1986 00:00:00,88.21
07.04.1986 00:00:00,88.18
14.04.1986 00:00:00,88.2
21.04.1986 00:00:00,88.19
28.04.1986 00:00:00,88.23
05.05.1986 00:00:00,88.29
12.05.1986 00:00:00,88.27
19.05.1986 00:00:00,88.22
26.05.1986 00:00:00,88.1
02.06.1986 00:00:00,88.08
09.06.1986 00:00:00,88.04
16.06.1986 00:00:00,87.9
23.06.1986 00:00:00,87.83
30.06.1986 00:00:00,87.75
07.07.1986 00:00:00,87.67
14.07.1986 00:00:00,87.6
21.07.1986 00:00:00,87.52
28.07.1986 00:00:00,87.51
04.08.1986 00:00:00,87.51
11.08.1986 00:00:00,87.5
18.08.1986 00:00:00,87.48
25.08.1986 00:00:00,87.46
01.09.1986 00:00:00,87.48
08.09.1986 00:00:00,87.45
15.09.1986 00:00:00,87.47
22.09.1986 00:00:00,87.42
29.09.1986 00:00:00,87.49
06.10.1986 00:00:00,87.53
13.10.1986 00:00:00,87.53
20.10.1986 00:00:00,87.58
27.10.1986 00:00:00,87.66
