Date,GWL
13.07.1970 00:00:00,7.27
20.07.1970 00:00:00,7.2
27.07.1970 00:00:00,7.17
03.08.1970 00:00:00,7.14
10.08.1970 00:00:00,7.08
17.08.1970 00:00:00,7.07
24.08.1970 00:00:00,7.04
31.08.1970 00:00:00,6.99
07.09.1970 00:00:00,6.95
14.09.1970 00:00:00,6.92
21.09.1970 00:00:00,6.9
28.09.1970 00:00:00,6.86
05.10.1970 00:00:00,6.82
12.10.1970 00:00:00,6.8
19.10.1970 00:00:00,6.77
26.10.1970 00:00:00,6.83
02.11.1970 00:00:00,6.89
09.11.1970 00:00:00,6.95
16.11.1970 00:00:00,7.17
23.11.1970 00:00:00,7.27
30.11.1970 00:00:00,7.51
07.12.1970 00:00:00,7.6
14.12.1970 00:00:00,7.65
21.12.1970 00:00:00,7.76
28.12.1970 00:00:00,7.755
04.01.1971 00:00:00,7.75
11.01.1971 00:00:00,7.65
18.01.1971 00:00:00,7.69
25.01.1971 00:00:00,7.69
01.02.1971 00:00:00,7.79
08.02.1971 00:00:00,7.76
15.02.1971 00:00:00,7.72
22.02.1971 00:00:00,7.69
01.03.1971 00:00:00,7.72
08.03.1971 00:00:00,7.74
15.03.1971 00:00:00,7.74
22.03.1971 00:00:00,7.75
29.03.1971 00:00:00,7.76
05.04.1971 00:00:00,7.75
12.04.1971 00:00:00,7.74
19.04.1971 00:00:00,7.75
26.04.1971 00:00:00,7.72
03.05.1971 00:00:00,7.69
10.05.1971 00:00:00,7.67
17.05.1971 00:00:00,7.63
24.05.1971 00:00:00,7.59
31.05.1971 00:00:00,7.49
07.06.1971 00:00:00,7.47
14.06.1971 00:00:00,7.43
21.06.1971 00:00:00,7.37
28.06.1971 00:00:00,7.33
05.07.1971 00:00:00,7.28
12.07.1971 00:00:00,7.24
19.07.1971 00:00:00,7.19
26.07.1971 00:00:00,7.155
02.08.1971 00:00:00,7.12
09.08.1971 00:00:00,7.05
16.08.1971 00:00:00,6.99
23.08.1971 00:00:00,6.97
30.08.1971 00:00:00,6.94
06.09.1971 00:00:00,6.9
13.09.1971 00:00:00,6.84
20.09.1971 00:00:00,6.77
27.09.1971 00:00:00,6.74
04.10.1971 00:00:00,6.71
11.10.1971 00:00:00,6.69
18.10.1971 00:00:00,6.65
25.10.1971 00:00:00,6.62
01.11.1971 00:00:00,6.6
08.11.1971 00:00:00,6.63
15.11.1971 00:00:00,6.65
22.11.1971 00:00:00,6.71
29.11.1971 00:00:00,6.73
06.12.1971 00:00:00,6.71
13.12.1971 00:00:00,6.7
20.12.1971 00:00:00,6.71
27.12.1971 00:00:00,6.655
03.01.1972 00:00:00,6.6
10.01.1972 00:00:00,6.58
17.01.1972 00:00:00,6.54
