Date,GWL
08.12.1958 00:00:00,51.46
15.12.1958 00:00:00,51.48
22.12.1958 00:00:00,51.5
29.12.1958 00:00:00,51.52
05.01.1959 00:00:00,51.64
12.01.1959 00:00:00,51.73
19.01.1959 00:00:00,51.76
26.01.1959 00:00:00,51.83
02.02.1959 00:00:00,51.84
09.02.1959 00:00:00,51.8
16.02.1959 00:00:00,51.74
23.02.1959 00:00:00,51.7
02.03.1959 00:00:00,51.7
09.03.1959 00:00:00,51.7
16.03.1959 00:00:00,51.68
23.03.1959 00:00:00,51.64
30.03.1959 00:00:00,51.63
06.04.1959 00:00:00,51.62
13.04.1959 00:00:00,51.62
20.04.1959 00:00:00,51.6
27.04.1959 00:00:00,51.56
04.05.1959 00:00:00,51.53
11.05.1959 00:00:00,51.51
18.05.1959 00:00:00,51.48
25.05.1959 00:00:00,51.42
01.06.1959 00:00:00,51.38
08.06.1959 00:00:00,51.33
15.06.1959 00:00:00,51.3
22.06.1959 00:00:00,51.25
29.06.1959 00:00:00,51.22
06.07.1959 00:00:00,51.18
13.07.1959 00:00:00,51.88
20.07.1959 00:00:00,51.72
27.07.1959 00:00:00,51.67
03.08.1959 00:00:00,51.43
10.08.1959 00:00:00,51.35
17.08.1959 00:00:00,51.25
24.08.1959 00:00:00,51.17
31.08.1959 00:00:00,51.11
07.09.1959 00:00:00,51.04
14.09.1959 00:00:00,50.97
21.09.1959 00:00:00,50.92
28.09.1959 00:00:00,50.9
05.10.1959 00:00:00,50.84
12.10.1959 00:00:00,50.83
19.10.1959 00:00:00,50.82
26.10.1959 00:00:00,50.81
02.11.1959 00:00:00,50.8
09.11.1959 00:00:00,50.77
16.11.1959 00:00:00,50.77
23.11.1959 00:00:00,50.78
30.11.1959 00:00:00,50.78
07.12.1959 00:00:00,50.76
14.12.1959 00:00:00,50.74
21.12.1959 00:00:00,50.73
28.12.1959 00:00:00,50.72
04.01.1960 00:00:00,50.7
11.01.1960 00:00:00,50.71
18.01.1960 00:00:00,50.71
25.01.1960 00:00:00,50.72
01.02.1960 00:00:00,50.71
08.02.1960 00:00:00,50.71
15.02.1960 00:00:00,50.73
22.02.1960 00:00:00,50.73
29.02.1960 00:00:00,50.75
07.03.1960 00:00:00,50.76
14.03.1960 00:00:00,50.77
21.03.1960 00:00:00,50.78
28.03.1960 00:00:00,50.78
04.04.1960 00:00:00,50.79
11.04.1960 00:00:00,50.78
18.04.1960 00:00:00,50.76
25.04.1960 00:00:00,50.74
02.05.1960 00:00:00,50.73
09.05.1960 00:00:00,50.72
16.05.1960 00:00:00,50.68
23.05.1960 00:00:00,50.66
30.05.1960 00:00:00,50.64
06.06.1960 00:00:00,50.61
13.06.1960 00:00:00,50.58
20.06.1960 00:00:00,50.55
27.06.1960 00:00:00,50.52
04.07.1960 00:00:00,50.49
11.07.1960 00:00:00,50.47
18.07.1960 00:00:00,50.44
25.07.1960 00:00:00,50.45
01.08.1960 00:00:00,50.42
08.08.1960 00:00:00,50.56
15.08.1960 00:00:00,50.74
22.08.1960 00:00:00,50.75
29.08.1960 00:00:00,50.85
05.09.1960 00:00:00,50.96
12.09.1960 00:00:00,50.91
19.09.1960 00:00:00,50.86
26.09.1960 00:00:00,50.81
03.10.1960 00:00:00,50.77
10.10.1960 00:00:00,50.77
17.10.1960 00:00:00,50.85
24.10.1960 00:00:00,50.88
31.10.1960 00:00:00,51.13
07.11.1960 00:00:00,51.23
14.11.1960 00:00:00,51.18
21.11.1960 00:00:00,51.22
28.11.1960 00:00:00,51.33
05.12.1960 00:00:00,51.54
12.12.1960 00:00:00,51.66
19.12.1960 00:00:00,51.76
26.12.1960 00:00:00,51.73
02.01.1961 00:00:00,51.78
09.01.1961 00:00:00,51.79
16.01.1961 00:00:00,51.78
23.01.1961 00:00:00,51.68
30.01.1961 00:00:00,51.66
06.02.1961 00:00:00,51.96
13.02.1961 00:00:00,52.09
20.02.1961 00:00:00,51.85
27.02.1961 00:00:00,51.74
06.03.1961 00:00:00,51.84
13.03.1961 00:00:00,51.8
20.03.1961 00:00:00,51.7
27.03.1961 00:00:00,51.73
03.04.1961 00:00:00,51.94
10.04.1961 00:00:00,51.97
17.04.1961 00:00:00,51.94
24.04.1961 00:00:00,51.83
01.05.1961 00:00:00,51.87
08.05.1961 00:00:00,51.75
15.05.1961 00:00:00,51.79
22.05.1961 00:00:00,51.71
29.05.1961 00:00:00,51.56
05.06.1961 00:00:00,51.74
12.06.1961 00:00:00,51.56
19.06.1961 00:00:00,51.55
26.06.1961 00:00:00,51.42
