Date,GWL
10.09.1984 00:00:00,54.14
17.09.1984 00:00:00,54.16
24.09.1984 00:00:00,54.17
01.10.1984 00:00:00,54.15
08.10.1984 00:00:00,54.15
15.10.1984 00:00:00,54.16
22.10.1984 00:00:00,54.16
29.10.1984 00:00:00,54.18
05.11.1984 00:00:00,54.14
12.11.1984 00:00:00,54.13
19.11.1984 00:00:00,54.12
26.11.1984 00:00:00,54.215
03.12.1984 00:00:00,54.31
10.12.1984 00:00:00,54.31
17.12.1984 00:00:00,54.32
24.12.1984 00:00:00,54.37
31.12.1984 00:00:00,54.36
07.01.1985 00:00:00,54.33
14.01.1985 00:00:00,54.32
21.01.1985 00:00:00,54.34
28.01.1985 00:00:00,54.51
04.02.1985 00:00:00,54.68
11.02.1985 00:00:00,54.62
18.02.1985 00:00:00,54.59
25.02.1985 00:00:00,54.42
04.03.1985 00:00:00,54.41
11.03.1985 00:00:00,54.51
18.03.1985 00:00:00,54.53
25.03.1985 00:00:00,54.59
01.04.1985 00:00:00,54.66
08.04.1985 00:00:00,54.88
15.04.1985 00:00:00,54.74
22.04.1985 00:00:00,54.66
29.04.1985 00:00:00,54.74
06.05.1985 00:00:00,54.64
13.05.1985 00:00:00,54.61
20.05.1985 00:00:00,54.61
27.05.1985 00:00:00,54.5
03.06.1985 00:00:00,54.39
10.06.1985 00:00:00,54.32
17.06.1985 00:00:00,54.37
24.06.1985 00:00:00,54.4
01.07.1985 00:00:00,54.35
08.07.1985 00:00:00,54.32
15.07.1985 00:00:00,54.26
22.07.1985 00:00:00,54.17
29.07.1985 00:00:00,54.12
05.08.1985 00:00:00,54.09
12.08.1985 00:00:00,54.09
19.08.1985 00:00:00,54.24
26.08.1985 00:00:00,54.22
02.09.1985 00:00:00,54.2
09.09.1985 00:00:00,54.14
16.09.1985 00:00:00,54.1
23.09.1985 00:00:00,54.08
30.09.1985 00:00:00,54.08
07.10.1985 00:00:00,54.06
14.10.1985 00:00:00,54.05
21.10.1985 00:00:00,54.03
28.10.1985 00:00:00,54.03
04.11.1985 00:00:00,54.03
11.11.1985 00:00:00,54.03
18.11.1985 00:00:00,54.02
25.11.1985 00:00:00,54.01
02.12.1985 00:00:00,54.02
09.12.1985 00:00:00,54.06
16.12.1985 00:00:00,54.1
